Sussex	wn31-08906659-n
Columbia River	wn31-09273584-n
Duns Scotus	wn31-10965538-n
Auriga (constellation)	wn31-09233963-n
Aldous Huxley	wn31-11089736-n
César Ritz	wn31-11283548-n
Shishapangma	wn31-09313532-n
Edward Steichen	wn31-11334509-n
Pedro Calderón de la Barca	wn31-10898907-n
Battle of Tsushima	wn31-01300653-n
Coeur d'Alene, Idaho	wn31-09104219-n
Toledo, Spain	wn31-09049662-n
Thomas Gray	wn31-11032842-n
Herman Snellen	wn31-11326915-n
Argentina	wn31-08729807-n
Logos	wn31-09560255-n
Juan Ramón Jiménez	wn31-11104779-n
Hokusai	wn31-11075910-n
James McKeen Cattell	wn31-10911180-n
Leo Szilard	wn31-11348284-n
Guadalupe Mountains National Park	wn31-08623049-n
Miocene	wn31-15150471-n
Queen Maud Land	wn31-08645989-n
Portsmouth, Virginia	wn31-09173971-n
Cape Province	wn31-09023950-n
Antonie van Leeuwenhoek	wn31-11149798-n
Mara (Hindu goddess)	wn31-09550047-n
William Morris	wn31-11212057-n
Nicolas Poussin	wn31-11264755-n
Catullus	wn31-10907733-n
Mount Athos	wn31-08802984-n
Argonauts	wn31-09612759-n
United Kingdom	wn31-08879115-n
Cornelius Vanderbilt	wn31-11379182-n
Sun Myung Moon	wn31-11209044-n
Big Dipper	wn31-09242765-n
William Beaumont	wn31-10859065-n
John Amos Comenius	wn31-10925320-n
Battle of Naseby	wn31-01291042-n
United States	wn31-09067337-n
Mary (mother of Jesus)	wn31-11181402-n
Dresden	wn31-08788765-n
Adam's Peak	wn31-09210491-n
Asa Gray	wn31-11032470-n
Emmett Kelly	wn31-11120129-n
Books of Chronicles	wn31-06447321-n
Helen Wills	wn31-11208842-n
Massif Central (geology)	wn31-09371540-n
Hokkaido	wn31-08940495-n
Henri Pitot	wn31-11256178-n
Karl Verner	wn31-11383547-n
Julius Caesar	wn31-10897913-n
Louis XIII of France	wn31-11160852-n
Santos, São Paulo	wn31-08875622-n
Israel	wn31-08810400-n
Scipio Africanus	wn31-11308206-n
Nablus	wn31-08811598-n
Ivory Coast	wn31-08754350-n
Central America	wn31-08753538-n
J. William Fulbright	wn31-11005156-n
Santiago de Cuba	wn31-01296325-n
FARC	wn31-08058935-n
Christopher Fry	wn31-11004122-n
Maria Goeppert-Mayer	wn31-11187078-n
Joseph Conrad	wn31-10927399-n
Ganymede (mythology)	wn31-09517895-n
Kobuk Valley National Park	wn31-08624425-n
Otto I, Holy Roman Emperor	wn31-11238615-n
Colorado Springs, Colorado	wn31-09090363-n
Seattle Slew	wn31-02387185-n
Costa Rica	wn31-08753940-n
Arius	wn31-10842171-n
Patrick Henry	wn31-11060377-n
Chaldea	wn31-08937654-n
Alan Seeger	wn31-11310854-n
Smolensk	wn31-09032186-n
Eau Claire, Wisconsin	wn31-09180443-n
Sophie Tucker	wn31-11371342-n
Fifth Amendment to the United States Constitution	wn31-06741080-n
Pierre Vernier	wn31-11383652-n
River Severn	wn31-09453675-n
Iditarod Trail	wn31-03565021-n
Athene (owl)	wn31-01624635-n
Albert Einstein	wn31-10974490-n
Lusitania	wn31-09189097-n
Mexico City	wn31-08762069-n
Santo Domingo	wn31-08770126-n
Pikes Peak	wn31-09414889-n
James VI and I	wn31-11099792-n
Charles Bulfinch	wn31-10890484-n
Cornelia Otis Skinner	wn31-11324664-n
Gulf of Mexico	wn31-09321604-n
Trans-Alaska Pipeline System	wn31-02697635-n
Edmund Wilson	wn31-11411118-n
Galahad	wn31-11007172-n
Ali	wn31-10833932-n
Al-Muhajiroun	wn31-08030185-n
Sybil Thorndike	wn31-11361262-n
Ketuvim	wn31-06464994-n
Melbourne	wn31-09096089-n
First Boer War	wn31-01305743-n
Prajapati	wn31-09550841-n
Capitol Reef National Park	wn31-08621081-n
Moreton Bay	wn31-09382209-n
Henry Wood	wn31-11415768-n
Second Epistle to Timothy	wn31-06457399-n
Los Alamos, New Mexico	wn31-09138670-n
Sagittarius (constellation)	wn31-08705263-n
Beatrice Lillie	wn31-11152107-n
G. E. Moore	wn31-11209699-n
Ezra	wn31-10984652-n
Bette Davis	wn31-10944099-n
Peter Medawar	wn31-11190903-n
Cape Flattery	wn31-09149834-n
Xhosa people	wn31-08506295-n
Punta Arenas	wn31-08739629-n
Vladivostok	wn31-09033040-n
Pergamon	wn31-09064926-n
Henry Ward Beecher	wn31-10860661-n
Adelaide	wn31-08853535-n
Robert Benchley	wn31-10863301-n
Mesoamerica	wn31-08753397-n
Allegheny Mountains	wn31-09215586-n
Long Island	wn31-09146706-n
Saint Peter	wn31-11251147-n
Julia Ward Howe	wn31-11082644-n
Nan River	wn31-09387851-n
Laertes	wn31-09615908-n
Horace Greeley	wn31-11033187-n
Detroit	wn31-09122994-n
Diana, Princess of Wales	wn31-10953409-n
Norfolk, Virginia	wn31-09173618-n
Providence, Rhode Island	wn31-09160159-n
Clarksburg, West Virginia	wn31-09178757-n
Big Sioux River	wn31-09243481-n
Jacques Derrida	wn31-10951203-n
Beowulf	wn31-09613170-n
Melina Mercouri	wn31-11195738-n
Jacob Epstein	wn31-10979656-n
Myrmidon (hero)	wn31-09620802-n
Île Saint-Louis	wn31-08953840-n
Orizaba	wn31-08762704-n
Omaha people	wn31-09683333-n
Arthur Wellesley, 1st Duke of Wellington	wn31-11400918-n
Ramesses VI	wn31-11273087-n
Carl Gustav Jacob Jacobi	wn31-11097639-n
Bujumbura	wn31-08734350-n
Anton Chekhov	wn31-10914404-n
Nemesis (mythology)	wn31-09590550-n
J. M. Barrie	wn31-10854618-n
Banjul	wn31-08965815-n
Topeka, Kansas	wn31-09111373-n
Wake Island	wn31-08857548-n
Petronius	wn31-11251811-n
Claes Oldenburg	wn31-11233716-n
Johannes Vermeer	wn31-11383264-n
Mackinac Bridge	wn31-03708443-n
Swaziland	wn31-09053603-n
Damon Runyon	wn31-11293897-n
Papeete	wn31-09012573-n
Electra	wn31-09620058-n
Bill Russell (baseball)	wn31-11295485-n
Marshall Plan	wn31-13287713-n
Black September Organization	wn31-08036995-n
Nairobi	wn31-08948355-n
Europe	wn31-09298379-n
British Empire	wn31-08876674-n
Promised Land	wn31-05636887-n
Tamil Eelam	wn31-08737725-n
Minneapolis–Saint Paul	wn31-09126256-n
Fall of man	wn31-07493671-n
Uzbekistan	wn31-09044635-n
Orange River	wn31-09402617-n
Marie Curie	wn31-10937455-n
Jorge Luis Borges	wn31-10877293-n
Japheth	wn31-10239448-n
William Chambers (architect)	wn31-10909657-n
Rainer Maria Rilke	wn31-11282564-n
Liberty Island	wn31-09137054-n
Majorca	wn31-09047214-n
Isaac Singer	wn31-11322767-n
Aran Islands	wn31-08726703-n
European dragon	wn31-09517519-n
Japanese archipelago	wn31-08940154-n
Diocletian	wn31-10955960-n
Cheyenne, Wyoming	wn31-09182468-n
Bertrand Russell	wn31-11294802-n
Tethys (mythology)	wn31-09600645-n
Communist Party of Kampuchea	wn31-08045752-n
Panama City	wn31-08757345-n
Comoros	wn31-08751730-n
Battle of Leyte	wn31-01286617-n
Hestia	wn31-09587127-n
Mobile River	wn31-09379536-n
Willem de Sitter	wn31-11323517-n
Katowice	wn31-09006380-n
Mwanza	wn31-09058210-n
Cusco	wn31-09002110-n
Lot (biblical person)	wn31-10293366-n
Caucasus	wn31-08536807-n
Thirty Years' War	wn31-01311600-n
River Avon (Bristol)	wn31-09235058-n
Joshua	wn31-11112531-n
Hilo, Hawaii	wn31-09101172-n
Colorado Desert	wn31-09191812-n
Google	wn31-06591081-n
David Hume	wn31-11086420-n
San Juan, Puerto Rico	wn31-08771127-n
Valencia, Carabobo	wn31-09185870-n
Tycho Brahe	wn31-10881522-n
Sir Barton	wn31-02386256-n
Haleakalā National Park	wn31-08623276-n
Gustavus Franklin Swift	wn31-11346994-n
Lyon	wn31-08956420-n
Izanami-no-Mikoto	wn31-09558241-n
Robert De Niro	wn31-10950664-n
Wilhelm von Humboldt	wn31-11086204-n
Milwaukee	wn31-09181054-n
Arthur Rubinstein	wn31-11293469-n
Saône	wn31-09446632-n
Marianne Moore	wn31-11209422-n
Saul	wn31-11302603-n
Ted Hughes	wn31-11085224-n
Slovenia	wn31-08836296-n
Reginald Marsh (artist)	wn31-11178641-n
Ben Jonson	wn31-11111174-n
Maurice de Vlaminck	wn31-11388235-n
First Epistle to the Thessalonians	wn31-06456629-n
Hans Geiger	wn31-11013503-n
Woody Guthrie	wn31-11040717-n
Manama	wn31-08867560-n
Monroe, Michigan	wn31-09124239-n
War of the Spanish Succession	wn31-01313280-n
John Henry Newman	wn31-11224952-n
René Magritte	wn31-11169363-n
Theodor Schwann	wn31-11307724-n
Louis de Broglie	wn31-10884916-n
Chinese Communist Revolution	wn31-01306073-n
Kingstown	wn31-09011926-n
Sichuan	wn31-08744138-n
Mohammed Omar	wn31-11215063-n
Morocco	wn31-08991642-n
Democratic Republic of the Congo	wn31-08752218-n
David	wn31-10943452-n
Mauritania	wn31-08989171-n
Paris, Texas	wn31-09168488-n
Jabalpur	wn31-08923455-n
Dizzy Gillespie	wn31-11020008-n
William Caxton	wn31-10908396-n
Sukarno	wn31-11343844-n
Newfoundland and Labrador	wn31-08843929-n
Aristarchus of Samothrace	wn31-10841471-n
American frontier	wn31-08700915-n
Charles Lindbergh	wn31-11152938-n
Cebu City	wn31-09004407-n
Cebu	wn31-09003010-n
Thomas Sydenham	wn31-11347268-n
Ludwig Wittgenstein	wn31-11413823-n
Margot Fonteyn	wn31-10994447-n
Palestine (region)	wn31-08816623-n
Luxor	wn31-08919804-n
Hugh Capet	wn31-10911023-n
Alcibiades	wn31-10831651-n
Lobito	wn31-08726442-n
Jay Cooke	wn31-10928286-n
Leopold Kronecker	wn31-11131075-n
Istanbul	wn31-09064260-n
San Pablo, California	wn31-09088852-n
Neptune	wn31-09391596-n
Gregory of Nazianzus	wn31-11035076-n
Bosnia (region)	wn31-08835987-n
Luther Burbank	wn31-10891692-n
Niger River	wn31-09394062-n
Fort Worth, Texas	wn31-09167060-n
Bartolomeu Dias	wn31-10953905-n
Battle of Atlanta	wn31-01272126-n
Jagannath	wn31-09553647-n
Trimurti	wn31-08003059-n
Selkirk Mountains	wn31-09452838-n
Clara Schumann	wn31-11307176-n
Saul Steinberg	wn31-11334964-n
Florida	wn31-09094188-n
Vietnam War	wn31-01312298-n
W. B. Yeats	wn31-11422459-n
Jundallah (Iran)	wn31-08044901-n
Nelson Algren	wn31-10833315-n
Tobago	wn31-08773885-n
Albert Szent-Györgyi	wn31-11348080-n
Mount Asama	wn31-08946454-n
Arthur Conan Doyle	wn31-10926214-n
Yellowstone River	wn31-09505261-n
Apulia	wn31-08828210-n
Philibert de l'Orme	wn31-10949188-n
Sleeping Beauty	wn31-10630633-n
Perseus	wn31-09520294-n
Victoria, British Columbia	wn31-08842306-n
Jacques Marquette	wn31-11178146-n
Rudolf von Laban	wn31-11133591-n
Alexander Calder	wn31-10898761-n
Carrère and Hastings	wn31-10903623-n
Lucknow	wn31-08924501-n
Odisha	wn31-08925826-n
Howard Lindsay	wn31-11153377-n
Auschwitz concentration camp	wn31-02761605-n
Erie, Pennsylvania	wn31-09158148-n
Charleston, South Carolina	wn31-09161253-n
La Spezia	wn31-08826831-n
Kenai Fjords National Park	wn31-08624058-n
Zagreb	wn31-08836980-n
Vachel Lindsay	wn31-11153187-n
Abraham	wn31-10827091-n
Edward Weston	wn31-11402683-n
Solomon	wn31-11327754-n
World War II	wn31-01314587-n
Augeas	wn31-09509554-n
Dick Fosbury	wn31-10995579-n
Hindu Kush	wn31-09327070-n
Book of Amos	wn31-06451230-n
Élie Metchnikoff	wn31-11197141-n
Odyssey	wn31-06393816-n
Suharto	wn31-11343716-n
Melanesia	wn31-08855622-n
Cooperstown, New York	wn31-09141306-n
Isle of Man	wn31-08907943-n
Vladimir Horowitz	wn31-11080932-n
Andaman Sea	wn31-09219332-n
Little Sioux River	wn31-09363841-n
Nob Hill, San Francisco	wn31-09088376-n
Yaoundé	wn31-08735343-n
Coma Berenices	wn31-09274135-n
Al Gore	wn31-11028309-n
Book of Ruth	wn31-06446038-n
Nathaniel Hawthorne	wn31-11055614-n
Boise, Idaho	wn31-09104091-n
Battle of the Little Bighorn	wn31-01286937-n
Skye	wn31-08913944-n
Tom Stoppard	wn31-11340240-n
Béla Bartók	wn31-10856854-n
Wiesbaden	wn31-08792886-n
Erinyes	wn31-09529469-n
Anzû (mythology)	wn31-09545750-n
Mike Tyson	wn31-11375077-n
Little Missouri River (Arkansas)	wn31-09363550-n
Torquato Tasso	wn31-11352245-n
Thailand	wn31-09058927-n
Mount Carmel	wn31-09384713-n
George Paget Thomson	wn31-11360406-n
Conakry	wn31-08967390-n
Tashkent	wn31-09044908-n
Nibelungenlied	wn31-06393968-n
Elvis Presley	wn31-11266030-n
National Liberation Front of Corsica	wn31-08052758-n
Gary, Indiana	wn31-09107986-n
Armenia	wn31-09039896-n
Svalbard	wn31-08782394-n
Charles M. Schulz	wn31-11306810-n
Mikhail Baryshnikov	wn31-10857333-n
Shenandoah Valley	wn31-09455453-n
Joseph Banks	wn31-10853021-n
Verrazano–Narrows Bridge	wn31-04536607-n
Goa	wn31-08925154-n
Phobos (moon)	wn31-09413766-n
Andrea Guarneri	wn31-11037827-n
Jan Oort	wn31-11235531-n
William Randolph Hearst	wn31-11057274-n
Évariste Galois	wn31-11008257-n
Kingston, New York	wn31-09147398-n
Pampas	wn31-08731488-n
Abbott Lawrence Lowell	wn31-11162358-n
Illinois	wn31-09105071-n
Immanuel Kant	wn31-11116498-n
Josiah Quincy II	wn31-11270823-n
Tenzing Norgay	wn31-11355486-n
Osaka Bay	wn31-09403358-n
Obadiah	wn31-11231226-n
Isaac Pitman	wn31-11256033-n
Jean-Pierre Adam	wn31-10827649-n
Julius Erving	wn31-10980764-n
Sahara	wn31-09195180-n
Arkansas	wn31-09081737-n
Zambezi	wn31-09506259-n
Bight of Benin	wn31-09243341-n
Gospel of Matthew	wn31-06453277-n
Haftarah	wn31-06464789-n
Gabriele Falloppio	wn31-10985958-n
Martin Heidegger	wn31-11058289-n
United States Naval Research Laboratory	wn31-03818081-n
Ojos del Salado	wn31-09400569-n
Teapot Dome scandal	wn31-07321298-n
Nero	wn31-11223462-n
Cyrano de Bergerac	wn31-10939350-n
Barranquilla	wn31-08750640-n
Ginger Rogers	wn31-11288657-n
Strait of Georgia	wn31-09469540-n
Yevgeny Yevtushenko	wn31-11423011-n
James Abbott McNeill Whistler	wn31-11403420-n
Sint Maarten	wn31-08767483-n
Rocky Mountain National Park	wn31-08626370-n
Air Force Research Laboratory	wn31-02691754-n
Indra	wn31-09549631-n
Jebel Musa (Morocco)	wn31-09344600-n
Asterope (star)	wn31-09468684-n
Colón, Panama	wn31-08757502-n
Ariana	wn31-09060466-n
Battle of Valmy	wn31-01300862-n
Eddie Rickenbacker	wn31-11281794-n
Via Flaminia	wn31-03361516-n
Darling River	wn31-09286385-n
The Carolinas	wn31-09075291-n
Saint Elias Mountains	wn31-09467992-n
Anthony Trollope	wn31-11369202-n
Henry Laurens	wn31-11139466-n
Esther Hobart Morris	wn31-11212185-n
Silurian	wn31-15153152-n
Jefferson Davis	wn31-10944401-n
Devonian	wn31-15152934-n
John Milton	wn31-11201063-n
Loch Linnhe	wn31-09365151-n
Pierrot	wn31-09626294-n
Battle of the Caudine Forks	wn31-01276867-n
George Fox	wn31-10996858-n
Yemen	wn31-09187354-n
Alaska Range	wn31-09215158-n
Percy Grainger	wn31-11030693-n
Franz Liszt	wn31-11155226-n
Thomas Hart Benton (politician)	wn31-10865359-n
Nantes	wn31-08956882-n
Terra (mythology)	wn31-09595427-n
Michael Ondaatje	wn31-11234916-n
Kattegat	wn31-09347765-n
Deng Xiaoping	wn31-10950529-n
Veracruz (city)	wn31-08764308-n
Natalie Wood	wn31-11415890-n
15 May Organization	wn31-08056064-n
Windhoek	wn31-08717947-n
Lesotho	wn31-08978603-n
Pegasus (constellation)	wn31-09411423-n
Willie Mays	wn31-11187259-n
Shel Silverstein	wn31-11320460-n
Gulf of Corinth	wn31-09321006-n
Lake Clark National Park and Preserve	wn31-08624622-n
Frank Norris	wn31-11229533-n
Traverse City, Michigan	wn31-09124482-n
Peter the Great	wn31-11251423-n
Peter Carl Goldmark	wn31-11025046-n
Timor	wn31-08928512-n
Medes	wn31-09615737-n
Lower Peninsula of Michigan	wn31-09366956-n
John Cowper Powys	wn31-11265580-n
Indiana	wn31-09107288-n
Maria Mitchell	wn31-11202469-n
El Greco	wn31-10976369-n
Crescent City Connection	wn31-03461796-n
British Virgin Islands	wn31-08772647-n
Puppis	wn31-09424034-n
Frederick Soddy	wn31-11327582-n
Moshe Dayan	wn31-10945691-n
L. S. Lowry	wn31-11163034-n
Santa Ana, California	wn31-09089011-n
Aegean Sea	wn31-09211506-n
Charles Farrar Browne	wn31-10886158-n
Sequoyah	wn31-11313147-n
Chesapeake Bay	wn31-09266311-n
Avicenna	wn31-10849337-n
Annapurna	wn31-09220823-n
Peter Stuyvesant	wn31-11343089-n
Butte, Montana	wn31-09131514-n
Francisco Pizarro	wn31-11258716-n
Carlos Fuentes	wn31-11004872-n
Essen	wn31-08790627-n
Anton Rubinstein	wn31-11293276-n
Andrzej Wajda	wn31-11390549-n
Fox River (Illinois River tributary)	wn31-09308034-n
Tower of London	wn31-04468182-n
Baton Rouge, Louisiana	wn31-09113970-n
Nikola Tesla	wn31-11356845-n
Augusta, Georgia	wn31-09099622-n
Jean-Martin Charcot	wn31-10911582-n
Matthew C. Perry	wn31-11250392-n
Georges de La Tour	wn31-11138471-n
Mickey Mantle	wn31-11175186-n
Book of Micah	wn31-06451772-n
William Stanley Jevons	wn31-11104190-n
Ida Tarbell	wn31-11351437-n
Ezra Cornell	wn31-10931040-n
Archduke Franz Ferdinand of Austria	wn31-10997656-n
Guaíra Falls	wn31-09453320-n
Virgil	wn31-11387431-n
Ford Madox Ford	wn31-10994967-n
Ionosphere	wn31-08599685-n
Badlands Wilderness	wn31-08519818-n
Kartikeya	wn31-09550135-n
Twin Falls, Idaho	wn31-09104926-n
Lawrence, Kansas	wn31-09111114-n
Campania	wn31-08822974-n
Edward VI of England	wn31-10971270-n
Lake Nasser	wn31-09355152-n
Baltimore	wn31-09116965-n
Childe Hassam	wn31-11053988-n
Egbert of Wessex	wn31-10973180-n
Jacques Loeb	wn31-11157165-n
Arna Bontemps	wn31-10876755-n
Ralph Bunche	wn31-10890857-n
Book of Esther	wn31-06448387-n
Georgetown (Washington, D.C.)	wn31-09094069-n
Harald Hirschsprung	wn31-11072181-n
Crow Nation	wn31-09673964-n
Twyla Tharp	wn31-11357624-n
Bruno Walter	wn31-11392794-n
Western Wall	wn31-08815471-n
Cataract Canyon	wn31-09260936-n
Bighorn River	wn31-09242953-n
Huldrych Zwingli	wn31-11428238-n
Brunswick, Georgia	wn31-09099777-n
Juvenal	wn31-11115381-n
Fargo, North Dakota	wn31-09152606-n
Natchez, Mississippi	wn31-09127876-n
Virginia Beach, Virginia	wn31-09174271-n
Sherman, Texas	wn31-09169061-n
Loch Achray	wn31-09365047-n
Bartlesville, Oklahoma	wn31-09154741-n
Guillaume Apollinaire	wn31-10840048-n
September 11 attacks	wn31-15325294-n
Adapa	wn31-09538266-n
Mount Nyiragongo	wn31-09199741-n
George Wells Beadle	wn31-10858727-n
Soledad, Atlántico	wn31-08751396-n
Emil Erlenmeyer	wn31-10980431-n
Epistle of Jude	wn31-06459433-n
Limousin	wn31-08962738-n
Fats Waller	wn31-11392237-n
Iowa people	wn31-09677453-n
Decius	wn31-10946668-n
Rostov-on-Don	wn31-09031860-n
Pictor	wn31-09414417-n
Werner von Siemens	wn31-11319765-n
Erato	wn31-09589673-n
Genoa	wn31-08826304-n
Battle of Gettysburg	wn31-01282108-n
Buckingham Palace	wn31-08896070-n
Franklin Pierce	wn31-11254803-n
Casey Stengel	wn31-11336424-n
Palace of Westminster	wn31-08896505-n
Bali	wn31-08928282-n
Kampala	wn31-09066401-n
Saint George	wn31-11016281-n
Marco Polo	wn31-11261290-n
Georges Cuvier	wn31-10939030-n
Heraclitus	wn31-11064290-n
Housatonic River	wn31-09328937-n
St. Francis River	wn31-09442159-n
Suva	wn31-08797227-n
Margaret Mead	wn31-11190238-n
Argun River (Caucasus)	wn31-09228778-n
Bari	wn31-08828357-n
Marshall Islands	wn31-08857879-n
Abzu	wn31-09539012-n
Stephen Girard	wn31-11021049-n
Articles of Confederation	wn31-06545854-n
2 Maccabees	wn31-06472596-n
Jupiter (mythology)	wn31-09597144-n
Kyoto	wn31-08944866-n
Walla Walla, Washington	wn31-09177829-n
Thar Desert	wn31-09196314-n
Alfred the Great	wn31-10832978-n
Linear B	wn31-06373466-n
Uganda	wn31-09065527-n
William Golding	wn31-11024727-n
Battle of the Philippine Sea	wn31-01293490-n
André Derain	wn31-10951084-n
Biblical Magi	wn31-08503548-n
Lake Tanganyika	wn31-09356418-n
Jafar Umar Thalib	wn31-11098394-n
Eritrea	wn31-08795396-n
Eugène Sue	wn31-11343575-n
Hirohito	wn31-11071817-n
William Huggins	wn31-11084467-n
Plovdiv	wn31-08732628-n
Kievan Rus'	wn31-09025000-n
Austria	wn31-08864547-n
Horace Mann	wn31-11174164-n
Susan Sontag	wn31-11328515-n
Canandaigua Lake	wn31-09255433-n
Billy Wilder	wn31-11406498-n
Louis VIII of France	wn31-11160090-n
Jean-François Champollion	wn31-10909963-n
Actium	wn31-08804013-n
Alabama	wn31-09075641-n
Billie Jean King	wn31-11125453-n
Vincent van Gogh	wn31-11380017-n
Washington Irving	wn31-11093443-n
Yellow Sea	wn31-09505088-n
Jakarta	wn31-08929492-n
Franklin D. Roosevelt	wn31-11290013-n
Stonehenge	wn31-08674381-n
Black Forest	wn31-09245649-n
Americas	wn31-09218493-n
Reno, Nevada	wn31-09133807-n
Australia	wn31-09234173-n
Napoleonic Wars	wn31-01308849-n
Carl XVI Gustaf of Sweden	wn31-10902340-n
Makarios III	wn31-11170799-n
Hœnir	wn31-09604145-n
Granada	wn31-09048233-n
Peloponnesian War	wn31-01309402-n
Benjamin Rush	wn31-11294259-n
Giovanni da Verrazzano	wn31-11383925-n
Romulus and Remus	wn31-09579709-n
Humber Bridge	wn31-03553977-n
Ningal	wn31-09543633-n
Ngaio Marsh	wn31-11178523-n
Alexander Pushkin	wn31-11269181-n
São Bernardo do Campo	wn31-08875785-n
Tara (Devi)	wn31-08910011-n
Pierre-Joseph Proudhon	wn31-11267145-n
Bhūmi	wn31-09548305-n
Bryan Donkin	wn31-10959622-n
Nanga Parbat	wn31-09388185-n
Brittany (administrative region)	wn31-08960981-n
Nazareth	wn31-08812045-n
Richard Brinsley Sheridan	wn31-11317585-n
Raleigh, North Carolina	wn31-09150517-n
Bermuda Triangle	wn31-08728784-n
Tom Hanks	wn31-11048070-n
Stephen Sondheim	wn31-11328391-n
Jerome Kern	wn31-11122343-n
Guam	wn31-08857311-n
Grover Cleveland	wn31-10921803-n
Themistocles	wn31-11357994-n
John Addington Symonds	wn31-11347539-n
René Antoine Ferchault de Réaumur	wn31-11275609-n
Ulugh Muztagh	wn31-09488265-n
Cancer (constellation)	wn31-09255594-n
Trinidad and Tobago	wn31-08774035-n
South Tarawa	wn31-08859956-n
Ahmad Shah Massoud	wn31-11183332-n
Belshazzar	wn31-10863021-n
Strait of Dover	wn31-09470373-n
Jean Piaget	wn31-11254282-n
Andrew Lloyd Webber	wn31-11156395-n
Nile	wn31-09394271-n
Lake Michigan	wn31-09354956-n
Chernobyl	wn31-09038735-n
Black Hills	wn31-09162715-n
Hohhot	wn31-08748051-n
Seven hills of Rome	wn31-08815106-n
Magna Carta	wn31-06488674-n
William Kidd	wn31-11124448-n
Katherine Anne Porter	wn31-11263414-n
Tarzan	wn31-09626935-n
Elmer Rice	wn31-11279625-n
Sri Jayawardenepura Kotte	wn31-08737298-n
Farouk of Egypt	wn31-10986834-n
Lincoln Steffens	wn31-11334310-n
Gainesville, Florida	wn31-09095643-n
Sea of Azov	wn31-09450754-n
Setúbal	wn31-09008896-n
Pearl River (China)	wn31-09506470-n
New Brunswick, New Jersey	wn31-09136554-n
Jules Verne	wn31-11383407-n
Quechua people	wn31-08506131-n
Luscinia	wn31-01562605-n
Tampa Bay	wn31-09477395-n
Mexicali	wn31-08761938-n
Mecca	wn31-09016460-n
Giacomo Meyerbeer	wn31-11197685-n
Nicaragua	wn31-08756653-n
Jack Nicklaus	wn31-11226346-n
Liam O'Flaherty	wn31-11232659-n
North Carolina	wn31-09148971-n
Monterey, California	wn31-09086557-n
Triangulum Australe	wn31-09484994-n
South America	wn31-09463304-n
Hesiod	wn31-11067328-n
John Heminges	wn31-11059686-n
Nubia	wn31-08521396-n
Benjamin Britten	wn31-10884231-n
Aphrodite	wn31-09577261-n
Clovis I	wn31-10922924-n
Luigi Galvani	wn31-11008883-n
Dayton, Ohio	wn31-09153885-n
Luxembourg	wn31-08980760-n
Peter Kropotkin	wn31-11131184-n
Cupid	wn31-09583190-n
Cuba	wn31-08767984-n
Mongolia	wn31-08991230-n
Trento	wn31-08830404-n
Second Epistle of John	wn31-06459070-n
François Mauriac	wn31-11185509-n
Stéphane Grappelli	wn31-11032038-n
Xinjiang	wn31-08747459-n
Daniel Bernoulli	wn31-10868237-n
Medellín	wn31-08751124-n
Omaha (horse)	wn31-02386465-n
Siege of Syracuse (214–212 BC)	wn31-01298787-n
Otto von Bismarck	wn31-10871195-n
Artur Schnabel	wn31-11305446-n
Altai Mountains	wn31-09217588-n
Damavand, Iran	wn31-09197354-n
Vicksburg, Mississippi	wn31-09128110-n
Thor Heyerdahl	wn31-11068581-n
Clark Gable	wn31-11006433-n
Andrew Carnegie	wn31-10902740-n
George II of Great Britain	wn31-11015111-n
Afghanistan	wn31-08721268-n
Scheldt	wn31-09448713-n
Maxfield Parrish	wn31-11244163-n
Jackson Pollock	wn31-11261096-n
James Joyce	wn31-11113106-n
Edmond Malone	wn31-11172112-n
Bermuda	wn31-08728511-n
Bob Dylan	wn31-10967100-n
Paul Hindemith	wn31-11070865-n
Joseph Schumpeter	wn31-11307560-n
Fourteenth Amendment to the United States Constitution	wn31-06741475-n
James Thurber	wn31-11361755-n
Santiago de Cuba	wn31-08768655-n
Middle Ages	wn31-15284095-n
Charles IX of France	wn31-10913185-n
Ernest Rutherford	wn31-11296275-n
Ulster Defence Association	wn31-08063511-n
Lazio	wn31-08824587-n
Francis Beaumont	wn31-10858925-n
Gdańsk	wn31-09006112-n
William Howard Taft	wn31-11348709-n
Hans Bethe	wn31-10869869-n
SoHo, Manhattan	wn31-09144286-n
Orient	wn31-08580157-n
Edward VIII	wn31-10971689-n
Wichita people	wn31-09691679-n
Casper, Wyoming	wn31-09182339-n
Ulfilas	wn31-11375664-n
Shenyang	wn31-08746295-n
René Descartes	wn31-10951605-n
Lennox Robinson	wn31-11286107-n
Tampa, Florida	wn31-09097834-n
Reggane	wn31-08725146-n
Ereshkigal	wn31-09541280-n
Lludd Llaw Eraint	wn31-09533205-n
An Nafud	wn31-09194273-n
Iphigenia	wn31-09618414-n
Josiah Willard Gibbs	wn31-11017884-n
Bengal	wn31-08728368-n
Dale Carnegie	wn31-10902954-n
Oliver Wendell Holmes, Sr.	wn31-11076942-n
Emma Orczy	wn31-11236254-n
Hanging Gardens of Babylon	wn31-03496592-n
Robert Hooke	wn31-11077920-n
John Cabot	wn31-10897336-n
Burkina Faso	wn31-08916686-n
Daniel Jones (phonetician)	wn31-11110126-n
Frederick William, Elector of Brandenburg	wn31-11000677-n
Nicola Amati	wn31-10835081-n
Tacitus	wn31-11348519-n
Lily Pons	wn31-11262311-n
Ken Russell	wn31-11295626-n
Fatimah	wn31-10987439-n
Morón, Buenos Aires	wn31-08731118-n
Massachusetts	wn31-09117607-n
